,Id,Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_spend,Age,Tenure,Total_dependencies,Total_spend_cluster,Income and Expenditure cluster
41,7030,PhD,Married,1.0115571637626124,1,3,11,9,12,6,1.8551656840440094,69,11,1,1,0
43,3657,Graduation,Single,-0.43602479220792745,1,3,4,0,4,8,-0.6463156532783263,38,11,1,0,1
44,5740,2n Cycle,Divorced,-1.1347788920426034,1,2,1,2,2,6,-0.8528773697693374,54,11,2,0,1
45,9595,Graduation,Together,0.8947183990598401,1,1,4,5,4,3,2.023826168151349,63,11,0,1,0
46,3158,Graduation,Married,-0.7987813378565353,1,1,1,0,3,8,-0.8850934172954583,51,11,1,0,1
47,5114,Master,Married,1.453530921760719,1,2,5,4,5,4,0.8697336420685439,59,12,1,2,0
48,340,Graduation,Divorced,1.3560858023555498,1,2,7,2,8,5,-0.017155195709375185,54,12,1,2,2
49,8805,Graduation,Single,0.08103310619100841,1,4,7,2,4,8,-0.2559329597265072,64,12,1,0,2
50,1241,2n Cycle,Married,-1.7262850736194963,1,2,1,0,3,9,-0.8623526778652553,40,12,1,0,1
51,1402,Master,Married,1.0394289053651786,1,3,4,8,6,3,1.4155113883934172,70,12,0,1,0
52,7264,2n Cycle,Single,0.2554169495637178,2,1,1,0,2,8,-0.9267847729174973,46,10,3,0,2
54,6398,Basic,Married,-1.535686871063545,2,2,3,0,3,8,-0.8642477394844389,50,10,1,0,1
55,1857,Graduation,Single,-0.012490893673115568,2,2,2,1,2,7,-0.8017107060513805,72,10,2,0,2
56,4877,Master,Married,-0.46622801029435845,2,1,1,0,3,7,-0.8813032940570912,51,10,1,0,1
57,3066,PhD,Together,0.7699314190711647,2,2,4,2,4,5,-0.5212415864122095,49,10,1,0,2
59,1992,Graduation,Married,0.7006229817780916,2,4,2,2,8,7,0.7332892054873255,60,10,1,2,0
60,4246,Master,Single,-2.1626950809174708,2,0,1,0,1,17,-0.25214283648814007,42,11,0,0,1
61,10623,Master,Together,0.05061793569695336,2,1,1,0,3,5,-0.8983588486297435,63,11,1,0,2
62,4867,PhD,Single,-0.48424396494240496,2,4,3,0,4,7,-0.7922353979554625,56,11,2,0,1
63,3112,Master,Married,-1.307414128052414,2,1,1,0,3,5,-0.9135193415832121,47,11,1,0,1
64,4865,Master,Divorced,0.31751900499757235,2,7,5,1,8,7,-0.20097617277018318,50,11,2,0,2
65,6287,Graduation,Together,-0.6701262264287206,2,1,1,1,2,6,-0.8907786021530091,38,11,1,0,1
66,4405,Master,Married,0.8764375039022634,2,2,6,3,12,5,0.5362027970922324,68,11,2,2,0
68,1519,PhD,Single,-0.46612203409054637,2,3,3,0,3,8,-0.8206613222432163,52,11,2,0,1
69,9080,PhD,Single,-0.46612203409054637,2,3,3,0,3,8,-0.8206613222432163,52,11,2,0,1
70,1772,PhD,Married,1.684982950886211,2,1,5,6,7,2,2.912610067548451,49,11,0,1,0
72,5510,Master,Married,-0.2178727766608462,2,3,5,2,6,5,-0.1232786463836561,47,12,1,0,2
73,3887,Graduation,Single,-1.0667951572971806,2,2,2,0,3,9,-0.7581242888101579,54,12,1,0,1
74,7022,Graduation,Married,1.5403784207846847,2,1,2,5,13,6,1.7130360626052403,53,12,1,1,0
75,9999,Graduation,Together,1.4784353296565482,2,1,9,4,9,5,1.011863263507313,59,12,0,2,0
76,10352,Graduation,Widow,-0.6974150989103204,2,3,3,1,2,9,-0.7372786109991385,61,12,2,0,1
77,7919,PhD,Together,1.3225973219509455,2,1,10,4,8,8,3.005468086888447,48,12,0,1,0
78,4114,Master,Married,1.6833403197271246,2,1,6,9,13,3,2.2493385008341957,60,12,0,1,0
79,7990,Graduation,Married,-1.0547668581645142,2,1,0,0,3,6,-0.9267847729174973,77,12,0,0,1
80,9888,Graduation,Together,1.1297206310130354,3,1,4,4,7,2,1.108511406085676,55,10,0,2,0
81,4399,Graduation,Together,1.1297206310130354,3,1,4,4,7,2,1.108511406085676,55,10,0,2,0
82,4452,Graduation,Single,0.15966744941954097,3,4,6,1,6,7,-0.25403789810732363,67,10,1,0,2
83,4785,PhD,Together,1.6027454167280692,3,2,6,3,11,3,0.39407317565346334,54,10,2,2,0
84,8461,Graduation,Divorced,-0.06743955534965754,3,1,1,0,2,7,-0.9286798345366808,62,10,3,0,2
85,3878,2n Cycle,Single,-0.8221490907970898,3,1,1,0,3,7,-0.868037862722806,44,10,1,0,1
86,9612,2n Cycle,Single,-1.2475905610005182,3,1,1,0,3,7,-0.8775131708187239,37,10,0,0,1
87,4098,Graduation,Married,-1.2047231865585488,3,3,2,0,4,6,-0.8756181091995404,51,10,2,0,1
88,158,PhD,Together,1.2838630194576455,3,1,8,3,5,4,1.3074928760999527,79,11,0,1,0
89,3896,Graduation,Married,-1.0661063119724024,3,1,1,0,3,7,-0.8888835405338255,40,11,1,0,1
90,9970,Graduation,Together,0.423919113624859,3,1,1,1,6,2,-0.6520008381358771,47,11,1,0,2
91,4002,PhD,Married,1.5717473771130481,3,1,7,7,12,3,1.1691533778995509,64,11,1,2,0
92,10914,Graduation,Single,-1.2299455230658138,3,2,1,0,3,4,-0.9267847729174973,54,11,2,0,1
93,7279,PhD,Together,1.1711043386016364,3,1,4,6,4,2,1.0194435099840473,55,11,0,2,0
94,10582,Graduation,Married,1.3081845582325082,3,2,5,2,12,2,0.4774558868975412,45,11,1,2,0
95,4470,Master,Married,0.597243194959448,3,1,2,1,4,4,-0.693692193757916,62,11,1,0,2
96,6183,Master,Married,0.597243194959448,3,1,2,1,4,4,-0.693692193757916,62,11,1,0,2
97,6379,Master,Widow,0.01034697824837873,3,3,2,2,2,7,-0.7296983645224041,75,11,2,0,2
99,4827,PhD,Single,0.4039425992062897,3,5,4,2,9,4,-0.09674778371508587,68,11,1,0,2
100,6715,PhD,Single,0.6795867053214019,3,6,6,2,11,6,0.3391163886971393,76,11,1,2,2
101,10676,Graduation,Married,0.8391338801604259,3,2,3,8,7,2,1.26390645885873,42,12,0,1,0
102,1041,PhD,Single,0.05602272209136733,3,5,7,1,6,8,-0.15549469390977708,51,12,1,0,2
103,492,PhD,YOLO,0.05602272209136733,3,5,7,1,6,8,-0.15549469390977708,51,12,1,0,2
104,11133,PhD,YOLO,0.05602272209136733,3,5,7,1,6,8,-0.15549469390977708,51,12,1,0,2
105,4491,Master,Married,0.8197402348628228,3,11,3,4,10,8,1.273381766954648,75,12,2,1,0
106,873,Master,Married,0.8197402348628228,3,11,3,4,10,8,1.273381766954648,75,12,2,1,0
107,1631,PhD,Together,0.9455869768896186,3,4,8,4,7,6,1.4704681753497413,59,12,0,1,0
108,8278,PhD,Married,1.4221619654323556,3,1,8,2,5,5,2.2834496099795003,34,12,0,1,0
110,254,Graduation,Together,0.3438011035429579,4,3,7,1,7,7,-0.0626366745697813,69,10,1,2,2
111,1349,Graduation,Married,0.16279374743199612,4,1,3,1,3,6,-0.6785317008044472,54,10,2,0,2
112,2534,Graduation,Married,-0.511797777933535,4,2,4,1,3,7,-0.6027292360371037,71,10,1,0,1
113,2130,Graduation,Together,-0.11507585896316884,4,1,3,1,3,6,-0.6804267624236309,42,10,2,0,2
114,2296,Master,Married,-0.5302376373968297,4,1,1,0,2,6,-0.9021489718681106,49,11,1,0,1
115,3799,Graduation,Married,1.051828121211187,4,3,7,2,11,5,0.6859126650077358,69,11,1,2,0
116,11084,Master,Together,0.9394403570685202,4,2,3,5,7,7,1.0364990645566996,48,11,1,2,0
117,5172,Master,Together,0.9394403570685202,4,2,3,5,7,7,1.0364990645566996,48,11,1,2,0
119,850,Graduation,Single,1.2288613696791975,4,2,6,5,9,3,0.4755608252783576,56,11,1,2,0
120,4477,Graduation,Together,1.150968859877349,4,1,5,2,10,4,0.27847441688326446,66,11,1,2,2
121,1945,Graduation,Married,1.2748550421336222,4,3,7,4,7,4,1.6940854464134045,62,11,1,1,0
122,7685,Graduation,Married,-0.759623130547987,4,1,2,0,4,5,-0.8111860141472984,46,11,1,0,1
123,6310,Graduation,Married,-0.759623130547987,4,1,2,0,4,5,-0.8111860141472984,46,11,1,0,1
124,10832,Graduation,Together,-0.04052159958139975,4,1,6,1,6,6,-0.07400704428488282,66,11,0,0,2
125,3025,Graduation,Single,0.13735945851710687,4,3,6,1,5,7,-0.3791119649734404,66,11,1,0,2
126,2404,Graduation,Married,0.3170951001823242,4,4,5,1,4,7,-0.47196998431343623,48,11,2,0,2
127,8581,Master,Married,0.11287895543652599,4,9,10,2,8,8,0.46419045556325605,53,11,2,2,2
128,8755,Master,Married,1.1277070831406066,4,1,3,5,9,7,1.3074928760999527,78,11,0,1,0
129,10177,Graduation,Divorced,1.3086084630477564,4,3,5,4,8,2,1.576591626024022,70,11,1,1,0
130,2429,Graduation,Divorced,1.3086084630477564,4,3,5,4,8,2,1.576591626024022,70,11,1,1,0
131,8920,Master,Single,0.6284531869820933,4,3,11,2,12,7,1.1786286859954687,57,11,1,2,0
132,8430,Graduation,Together,-1.3448767160999697,4,1,0,0,3,5,-0.9173094648215793,67,12,1,0,1
133,8619,Graduation,Together,-1.3448767160999697,4,1,0,0,3,5,-0.9173094648215793,67,12,1,0,1
134,8996,PhD,Married,-2.5102970294209572,4,12,7,2,8,9,0.1837213359240851,67,12,3,2,1
135,7233,Graduation,Married,1.1569565153927293,4,2,5,3,6,4,2.417998984941535,52,12,0,1,0
136,6678,Graduation,Together,-0.8184929117655744,5,2,3,0,4,7,-0.8225563838623999,35,10,1,0,1
137,830,PhD,Single,1.4110344640320915,5,1,4,6,4,3,2.1830113441627703,37,10,0,1,0
138,6365,2n Cycle,Married,-0.899988612497032,5,1,2,0,3,6,-0.8073958909089313,37,11,0,0,1
139,6770,Graduation,Married,-1.378736113217916,5,2,2,1,2,6,-0.8301366303391343,39,11,1,0,1
140,2261,Graduation,Married,-1.1164979968850266,5,1,1,0,2,7,-0.9286798345366808,55,11,1,0,1
143,9256,Graduation,Single,0.5815587167952663,5,4,8,3,12,6,0.937955860359153,53,11,1,2,0
144,10641,Graduation,Single,-2.112886265125813,5,4,2,1,3,6,-0.8509823081501537,46,12,2,0,1
145,624,Master,Single,-1.5093517844162534,5,1,0,1,2,6,-0.8926736637721927,40,12,0,0,1
146,4211,Basic,Married,-1.4280150479905138,5,2,2,0,3,7,-0.8509823081501537,38,12,1,0,1
147,1407,Basic,Married,-1.4280150479905138,5,2,2,0,3,7,-0.8509823081501537,38,12,1,0,1
148,10356,PhD,Divorced,-0.31462905074123737,5,1,1,0,3,7,-0.8983588486297435,67,12,2,0,1
149,9323,Master,Together,0.13444511291227582,5,4,10,5,7,8,0.6972830347228374,75,12,1,2,2
150,1146,Master,Together,0.13444511291227582,5,4,10,5,7,8,0.6972830347228374,75,12,1,2,2
153,8275,PhD,Divorced,-0.018531537290401762,6,1,1,0,2,7,-0.9210995880599465,59,10,2,0,2
154,10673,PhD,Married,1.1139301766450418,6,1,6,9,5,3,1.7244064323203419,48,11,1,1,0
155,8799,PhD,Married,-0.48747623915867216,6,3,3,1,4,7,-0.6690563927085293,40,11,1,0,1
156,67,Master,Single,-0.050430374637825355,6,3,2,0,4,7,-0.7846551514787282,52,11,2,0,2
157,9923,Master,Single,-0.050430374637825355,6,3,2,0,4,7,-0.7846551514787282,52,11,2,0,2
158,2814,Master,Together,-0.8909806351730087,6,1,1,0,3,7,-0.900253910248927,48,11,1,0,1
159,2711,Master,Together,-0.8909806351730087,6,1,1,0,3,7,-0.900253910248927,48,11,1,0,1
160,4320,Graduation,Single,0.6770432764299129,6,1,6,4,12,3,0.8280422864465049,45,11,1,2,0
161,10451,Graduation,Together,-0.9380340696655538,6,1,0,0,3,6,-0.9116242799640285,59,11,2,0,1
162,4198,Graduation,Together,-0.9380340696655538,6,1,0,0,3,6,-0.9116242799640285,59,11,2,0,1
163,10814,Graduation,Together,1.2158792847122228,6,1,6,5,13,4,1.6486039675529984,77,11,0,1,0
164,944,Graduation,Married,0.4666275237611105,6,1,4,2,7,4,-0.2142416041044683,62,11,1,0,2
165,8151,Basic,Married,-1.2237989032447156,6,1,4,1,3,8,-0.4605996145983347,34,12,0,0,1
166,6184,PhD,Married,1.117374403268933,6,1,3,3,8,1,2.2057520835929734,55,12,0,1,0
167,3498,PhD,Married,0.4265155306182539,6,4,7,5,9,6,0.7029682195803881,48,12,1,2,0
168,2870,Graduation,Married,0.09110084555315207,6,5,6,3,6,6,-0.0076798876134572475,51,12,1,2,2
169,7342,2n Cycle,Widow,0.6257507937848863,6,3,6,6,12,5,1.072505235321188,63,12,1,2,0
170,1911,Graduation,Together,1.062690682101921,6,1,11,5,12,6,1.6258632281227954,37,12,0,1,0
171,10862,Master,Married,-0.8929941830454374,6,5,1,2,9,2,-0.3412107325897687,64,12,1,0,1
172,2546,2n Cycle,Single,-0.8211423168608754,7,1,1,0,4,3,-0.8263465071007671,47,10,1,0,1
175,2930,Master,Single,1.0977688055637058,7,2,2,6,10,5,1.4685731137305575,46,11,0,1,0
176,8216,Master,Married,0.3383963171485439,7,6,4,4,3,5,-0.34310579420895226,52,11,2,0,2
177,1212,Graduation,Married,0.2898592158026303,7,3,8,8,6,6,0.8147768551122198,51,11,1,2,0
178,2541,Graduation,Married,-1.2371519049250326,7,2,2,0,3,8,-0.868037862722806,48,11,1,0,1
179,10659,2n Cycle,Together,-2.112886265125813,7,4,3,2,2,7,-0.8585625546268881,45,11,1,0,1
180,10905,Graduation,Together,-0.2537457216512212,7,5,4,1,6,8,-0.48144529240935413,69,12,2,0,2
181,8910,Graduation,Together,-0.2537457216512212,7,5,4,1,6,8,-0.48144529240935413,69,12,2,0,2
182,7349,Basic,Together,-1.995146702690638,7,4,3,1,3,8,-0.7638094736677087,51,12,1,0,1
184,4290,Graduation,Married,-0.8959085286502685,8,1,1,0,2,7,-0.9135193415832121,52,10,1,0,1
185,7408,PhD,Married,0.3801509414504871,8,2,5,1,4,7,-0.5174514631738423,72,10,1,0,2
186,9986,Graduation,Together,-1.4799963759603187,8,3,4,1,2,7,-0.8566674930077045,42,10,1,0,1
187,8235,Master,Together,1.158864087061346,8,2,6,5,10,3,0.6385361245281461,68,10,1,2,0
188,10949,PhD,Divorced,1.3561387904574558,8,1,5,5,8,3,2.7515298299178466,61,11,0,1,0
189,7284,Graduation,Married,0.06948169997549622,8,1,1,0,2,8,-0.9210995880599465,71,11,3,0,2
190,9529,Graduation,Married,1.3942372357278836,8,1,3,9,9,2,2.124264433968079,34,11,0,1,0
192,10270,2n Cycle,Married,-0.6280006854134352,8,2,3,0,3,7,-0.8339267535775015,43,11,1,0,1
193,760,PhD,Divorced,0.6983444933961327,8,2,8,4,9,6,0.5778941527142714,49,11,1,2,0
194,5519,Graduation,Together,0.8857104217358168,8,1,6,9,4,5,0.5513632900457011,68,11,1,2,0
195,232,Graduation,Single,0.7515975358116821,8,1,4,2,10,3,0.045381837723683205,59,11,1,2,2
196,3009,PhD,Widow,1.2873602341834427,8,1,5,3,6,6,2.3876779990345978,62,11,0,1,0
197,6518,PhD,Widow,1.075937707578426,8,1,7,3,8,5,0.18940652078163586,73,11,1,2,2
198,10669,Graduation,Married,0.37151388083980597,8,2,3,2,10,3,-0.06832185942733206,43,11,1,2,2
199,5682,PhD,Single,0.8866642075701251,8,4,6,9,11,5,1.1236718990391448,71,11,1,2,0
200,1570,PhD,Together,1.1830796496323968,8,2,7,7,10,4,1.0099682018881293,73,11,1,2,0
201,1497,Graduation,Single,0.0309063617879142,8,2,6,3,5,5,-0.18771074143589808,72,11,1,0,2
202,9723,Graduation,Married,1.0778452792470425,8,4,7,4,13,5,0.9663817846469068,64,11,1,2,0
203,7261,Graduation,Together,-0.6769087034726909,8,5,5,2,5,8,-0.35637122554323736,53,11,2,0,1
204,2452,Graduation,Together,-0.6769087034726909,8,5,5,2,5,8,-0.35637122554323736,53,11,2,0,1
205,5621,Graduation,Married,0.07297891470129349,8,5,6,1,5,9,-0.36016134878160455,55,12,2,0,2
206,10995,2n Cycle,Married,-1.6775360198659586,8,3,3,0,4,8,-0.7846551514787282,36,12,1,0,1
207,7373,PhD,Divorced,-0.04052159958139975,8,6,4,1,6,6,-0.3866922114501748,72,12,2,0,2
208,5331,Graduation,Married,1.4630157920018965,8,1,3,6,7,2,2.582869345810507,47,12,0,1,0
209,263,PhD,Single,-0.09531129695222366,9,1,3,1,3,8,-0.684216885661998,79,10,0,0,2
211,940,Graduation,Single,0.5153235894127423,9,2,3,2,7,3,-0.3696366568775225,37,10,1,0,2
212,10084,Graduation,Married,-1.2155857474492826,9,2,2,1,2,7,-0.8642477394844389,52,10,2,0,1
213,6019,PhD,Married,-0.5430607580580863,9,1,1,2,2,6,-0.8225563838623999,53,10,1,0,1
214,1463,Graduation,Single,-0.11735434734512767,9,1,1,0,2,7,-0.9192045264407629,66,10,2,0,2
215,6424,Graduation,Together,-0.7522577843830504,9,1,1,0,3,4,-0.8661428011036224,47,10,1,0,1
216,8233,Master,Widow,0.9268291888148877,9,4,7,3,7,5,0.09465343982245648,74,10,1,2,2
217,1515,Master,Together,-0.6993756586808432,9,1,1,0,3,3,-0.9059390951064777,49,10,1,0,1
218,10855,Master,Single,0.13984989930668978,9,2,4,1,8,5,-0.20855641924691753,56,10,1,0,2
220,3376,Master,Divorced,0.4189912201475992,9,1,3,1,6,4,-0.5136613399354751,54,11,1,0,2
221,10232,PhD,Divorced,0.0754693554908764,9,3,3,2,7,3,-0.33173542449385074,61,11,1,0,2
224,3524,Master,Single,-0.40333113333191356,9,2,5,1,2,9,-0.642525530039959,53,11,1,0,1
225,10095,PhD,Divorced,1.4195655484389607,9,1,5,4,10,2,1.4913138531607606,49,11,0,1,0
226,8897,Graduation,Single,-0.24664531599581466,9,8,7,3,7,8,0.2803694785024481,59,11,2,2,2
227,466,Graduation,Married,0.9485013224944496,9,1,4,3,13,2,0.45471514746733815,80,11,0,2,0
228,11025,Graduation,Married,-0.5792516316598975,9,4,3,1,3,8,-0.6974823169962832,63,11,2,0,1
229,2387,Master,Together,-0.1906898803830583,9,6,5,2,4,8,-0.43785887516813166,72,11,2,0,2
230,1618,Graduation,Together,0.4594741300037979,9,2,10,1,8,8,0.3523818200314244,59,11,0,2,2
231,25,Graduation,Married,0.9417718335523851,9,2,6,6,7,4,1.153992884946082,66,12,1,2,0
232,3277,Graduation,Divorced,0.10895783589548055,9,2,7,1,5,8,-0.26730332944160873,69,12,1,0,2
233,8566,PhD,Together,-0.7837857050171319,10,1,1,0,2,7,-0.9419452658709659,63,10,2,0,1
234,2634,Master,Single,-1.6278861683800185,10,3,2,1,3,6,-0.8282415687199507,45,10,1,0,1
235,8036,2n Cycle,Together,-1.08756649324434,10,4,2,1,4,4,-0.8396119384350522,53,10,2,0,1
236,8159,Graduation,Married,0.2073037530330523,10,3,4,1,3,7,-0.6140996057522052,56,10,2,0,2
237,7628,2n Cycle,Married,-0.2291592423668283,10,2,2,0,4,5,-0.8149761373856655,51,10,1,0,2
238,9597,Graduation,Married,1.3815730793723449,10,1,7,2,9,4,0.4149188534644828,55,10,0,2,0
239,1384,Basic,Married,-1.595934342930689,10,2,2,1,2,8,-0.8415070000542358,32,11,1,0,1
241,3885,PhD,Married,-0.7315394365377968,10,1,1,1,2,8,-0.8396119384350522,41,11,1,0,1
242,11003,2n Cycle,Together,-1.1787060285226933,10,2,2,0,3,7,-0.8642477394844389,44,11,1,0,1
243,8026,Graduation,Married,0.8278474144544438,10,5,5,4,5,5,-0.08158729076161716,72,11,1,0,2
244,577,2n Cycle,Together,-1.084546171435697,10,2,1,0,3,7,-0.9173094648215793,48,11,2,0,1
245,8702,2n Cycle,Together,-1.084546171435697,10,2,1,0,3,7,-0.9173094648215793,48,11,2,0,1
246,5429,PhD,Married,-0.0951523326465056,10,1,4,1,4,6,-0.6122045441330217,76,11,1,0,2
247,977,Graduation,Together,-0.0029000472281260825,10,6,5,1,8,6,-0.17444531010161296,67,11,1,0,2
248,2793,PhD,Divorced,1.208354974241568,10,3,7,3,13,5,1.0004928937922115,48,11,1,2,0
249,1071,PhD,Divorced,1.208354974241568,10,3,7,3,13,5,1.0004928937922115,48,11,1,2,0
250,5074,Master,Married,-1.0228150327151846,10,1,1,0,3,7,-0.8699329243419897,38,11,1,0,1
251,2632,Graduation,Married,0.16565510493492117,10,7,5,4,4,6,-0.011470010851824423,70,11,2,2,2
252,6404,Graduation,Together,0.6116029705759792,10,5,4,1,6,5,-0.4245934438338465,55,11,3,0,2
253,10240,Graduation,Together,1.1655935760034104,10,1,10,4,6,4,1.6580792756489164,75,11,0,1,0
254,2521,Master,Married,-0.6462815805710118,10,1,1,1,2,7,-0.8471921849117866,53,11,1,0,1
255,4301,Master,Married,-0.6462815805710118,10,1,1,1,2,7,-0.8471921849117866,53,11,1,0,1
256,7381,Graduation,Divorced,1.5005313681513581,10,1,11,4,6,4,1.7736780344191152,56,12,0,1,0
257,2407,Graduation,Married,1.1516577052021275,10,1,6,6,7,4,1.9878199973868607,42,12,0,1,0
258,9064,Graduation,Married,1.1516577052021275,10,1,6,6,7,4,1.9878199973868607,42,12,0,1,0
260,10281,Graduation,Divorced,0.9187220092232667,11,2,5,5,7,4,0.1818262743049015,54,10,1,2,2
261,11191,Graduation,Divorced,-0.3160067413907938,11,1,2,1,4,6,-0.6955872553770995,38,11,0,0,1
262,1994,Graduation,Married,-2.5102970294209572,11,1,1,0,2,7,-0.92299464967913,41,11,1,0,1
263,2552,PhD,Single,0.4316553765031378,11,9,6,3,6,7,-0.11380333828773816,69,11,3,0,2
264,6720,Master,Together,-0.18968310644684394,11,3,7,3,4,7,-0.026630503805293124,56,11,1,2,2
265,4557,Graduation,Together,-1.3408496203551121,11,2,2,2,2,6,-0.8320316919583178,54,11,1,0,1
266,1183,Master,Married,-0.5811062152266082,11,1,1,0,2,6,-0.9173094648215793,75,11,2,0,1
267,4186,Graduation,Together,-0.707323873966746,11,3,2,1,3,5,-0.8149761373856655,74,11,2,0,1
268,1419,Graduation,Together,-0.707323873966746,11,3,2,1,3,5,-0.8149761373856655,74,11,2,0,1
269,967,Graduation,Married,-0.07024792475067655,11,10,5,2,9,7,0.016955913435929393,48,11,2,2,2
270,1048,Master,Married,-0.6217480893885249,11,2,3,1,4,7,-0.6216798522289396,52,11,1,0,1
271,9262,2n Cycle,Together,-0.7927406942392491,11,1,1,0,3,7,-0.8604576162460716,40,11,0,0,1
272,3427,PhD,Married,0.6595042146990205,11,6,11,2,7,8,0.4319744080371351,69,11,1,2,2
273,5892,Graduation,Married,-0.6574090819712759,11,7,3,2,5,7,-0.5401922026040453,44,11,1,0,1
274,8911,PhD,Married,0.47399286992604717,11,3,5,4,9,4,0.3713324362232603,57,11,1,2,2
275,6606,Master,Married,1.2036920212738382,11,2,5,2,10,8,1.241165719428527,55,11,1,1,0
276,2677,Graduation,Together,-0.06770449585918763,11,5,3,1,6,4,-0.5022909702203736,68,11,1,0,2
277,252,PhD,Divorced,-0.3376258869684497,11,1,6,2,8,6,0.17993121268571793,61,11,0,2,2
278,9860,Graduation,Together,-0.13054838471972646,11,3,4,1,4,7,-0.5515625723191468,65,11,1,0,2
279,1388,Graduation,Single,-0.7484956291477229,11,2,2,1,3,6,-0.7467539190950564,49,11,1,0,1
280,979,Graduation,Single,-0.7484956291477229,11,2,2,1,3,6,-0.7467539190950564,49,11,1,0,1
281,7494,PhD,Divorced,-0.2385381364041937,11,4,6,1,4,8,-0.4492292448832332,74,11,2,0,2
282,10490,PhD,Married,0.19416270376035952,11,2,6,2,4,7,-0.1687601252440622,55,12,2,0,2
